,beer_id,beer_name,brewery_id,brewery_name,cat_id,cat_name,styleId,style_name,abv,address1,address2,city,state,code,country,phone,website,January_22,February_22,March_22,April_22,May_22,June_22,July_22,August_22,September_22,October_22,November_22,December_22
0,1,Hocus Pocus,812,Magic Hat,1,Standard American Beer,01A,American Light Lager,4.5,5 Bartlett Bay Road,,South Burlington,Vermont,5403,United States,1-802-658-2739,http://www.magichat.net/,305.49,260.57,504.57,316.42,458.1,246.02,109.58,157.07,513.72,347.73,146.55,439.37
1,2,Grimbergen Blonde,264,Brouwerij Alken-Maes,18,Pale American Ale,18A,Blonde Ale,6.7,Rue Derbque 7,,Jumet,Hainaut,,Belgium,32-071-34-02-22,,329.31,153.6,229.32,383.41,301.04,585.05,561.8,560.18,123.12,507.26,411.48,19.77
2,3,Widdershins Barleywine,779,Left Hand Brewing Company,17,Strong British Ale,17D,English Barleywine,9.1,1265 Boston Avenue,,Longmont,Colorado,80501,United States,1-303-772-0258,http://www.lefthandbrewing.com/,305.49,260.57,504.57,316.42,458.1,246.02,109.58,157.07,513.72,347.73,146.55,439.37
3,4,Lucifer,287,Brouwerij Liefmans,25,Strong Belgian Ale,25A,Belgian Blond Ale,8.5,200 Aalststraat,,Oudenaarde,Oost-Vlaanderen,,Belgium,32-055-31-13-92,http://www.liefmans.be/,329.31,153.6,229.32,383.41,301.04,585.05,561.8,560.18,123.12,507.26,411.48,19.77
4,5,Bitter,1056,Ridgeway Brewing,11,British Bitter,11B,Best Bitter,4,6 Chapel Close,,South Stoke,Oxford,,United Kingdom,44-(01491)-873474,,59.17,830.44,2164.43,378.6,1106.33,2699.89,2589.59,1715.59,460.59,1562.1,1405.03,464.93
5,6,Winter Warmer,1385,Youngs & Company Brewery,17,Strong British Ale,17B,Old Ale,5.2,26 Osiers Road,Wandsworth,London,,SW18 1NH,England,020 8875 7000,http://www.youngs.co.uk,23682.38,28225.84,24907.24,21272.55,8762.69,9899.74,764.05,1780.08,3899.15,12637.54,26363.08,14069.52
6,7,Winter Welcome 2007-2008,1099,Samuel Smith Old Brewery (Tadcaster),30,Spiced Beer,30C,Winter Seasonal Beer,6,High Street,,Tadcaster,North Yorkshire,,United Kingdom,44-(01937)-839201,,59.17,830.44,2164.43,378.6,1106.33,2699.89,2589.59,1715.59,460.59,1562.1,1405.03,464.93
7,8,Oatmeal Stout,1099,Samuel Smith Old Brewery (Tadcaster),22,Strong American Ale,22B,American-Style Stout,5,High Street,,Tadcaster,North Yorkshire,,United Kingdom,44-(01937)-839201,,2429.78,1897.98,2526.55,4073.89,3795.35,1069.99,3715.31,431.84,4246.52,5270.6,4482.77,5243.14
8,9,Espresso Porter,501,Empyrean Brewing Company,13,Brown British Beer,13C,English Porter,0,729 Q Street,,Lincoln,Nebraska,68508,United States,1-402-434-5959,,320.16,491.37,376.02,699.27,1387.88,777.53,1248.66,648.99,1183.16,1305.33,1192.24,28.29
9,10,Chocolate Stout,545,Fort Collins Brewery,22,Strong American Ale,22B,American-Style Stout,0,1900-B East Lincoln Avenue,,Fort Collins,Colorado,80524,United States,1-970-472-1499,http://www.fortcollinsbrewery.com,248.5,1053.18,114.12,1104.68,601.69,188.06,1139.12,938.05,402.5,769.53,224.35,653
10,11,Hitachino Nest Real Ginger Brew,742,Kiuchi Shuzou Goushi Kaisya,22,,22B,Unclassified,7,"1257, Kounsosu",,Ibaraki,Kanto,,Japan,81-029-298-0105,,3418.93,11945.37,13101.44,14237.7,11561.78,8874.55,14489.18,11740.33,3591.04,3052.17,13632.23,11055.28
11,12,JuJu Ginger,779,Left Hand Brewing Company,22,,22B,Unclassified,4,1265 Boston Avenue,,Longmont,Colorado,80501,United States,1-303-772-0258,http://www.lefthandbrewing.com/,192.05,991.37,554.17,562.8,767.82,985.41,859.25,250.01,5.83,272.42,429.08,211.93
12,13,The Kidd Lager,545,Fort Collins Brewery,8,Dark European Lager,08B,Schwarzbier,0,1900-B East Lincoln Avenue,,Fort Collins,Colorado,80524,United States,1-970-472-1499,http://www.fortcollinsbrewery.com,85.79,5.66,83.18,164.63,101.42,88.33,179.15,148.42,199.18,151.68,200.06,177.59
13,14,Imperial Stout,1099,Samuel Smith Old Brewery (Tadcaster),22,Strong American Ale,22B,American-Style Stout,7,High Street,,Tadcaster,North Yorkshire,,United Kingdom,44-(01937)-839201,,1445.66,3390.76,1430.88,2847.31,4462.77,1587.96,2798.64,1816.87,4426.07,220.82,1615.74,4125.66
14,15,Oak-Aged Belgian Tripel,1315,Upstream Brewing Company at Legacy,26,Trappist Ale,26C,Belgian Tripel,9,17070 Wright Plaza,,Omaha,Nebraska,68130,United States,1-402-778-0100,,48.19,244.7,131.55,176.67,85.67,75.51,164.75,256.14,115.3,136.12,67.44,82.81
15,16,Ultrablonde,168,Brasserie d'Ecaussinnes,18,Pale American Ale,18A,Blonde Ale,8,"rue Restaumont, 118",,Ecaussinnes,Hainaut,,Belgium,32-067-/-34-22-77,,493.19,1273.56,980.09,182.83,1848.94,1389.61,685.29,82.36,1100.64,313.86,173.34,2049.4
16,17,Wiesen Edel Weisse,1023,Private Weissbierbrauerei G. Schneider & Sohn GmbH,10,German Wheat Beer,10A,Weissbier,6.2,Emil-Ott-Strasse 1-5,,Kelheim,,93309,Germany,0 94 41 / 7 05 - 0,http://www.schneider-weisse.de,1769.27,278.15,1516.57,1572.86,1081.27,3064.12,886.29,2405.8,590.42,2926.06,3542.34,2272.89
17,18,Old Foghorn 2001,39,Anchor Brewing,22,,22B,Unclassified,10,1705 Mariposa Street,,San Francisco,California,94107,United States,1-415-863-8350,,54.9,64.58,44.47,54.49,0.66,89.6,0.43,52.58,21.27,88.37,79.18,39.59
18,19,Framboise,196,Brasserie La Choulette,29,Fruit Beer,29A,Fruit Beer,6,16 rue des Ecoles,,Hordain,,,France,33-03.27.35.72.44,,8256.32,7082.61,279.47,2054.3,8551.05,3956.82,13042.49,1622.11,2596.27,5795.5,1099.24,7387.69
19,20,Cow Palace Scotch Ale 1998,483,Egan Brewing,14,Scottish Ale,14C,Scottish Export,8.7,,,De Pere,Wisconsin,,United States,,,163.57,1731.08,143.94,1500.66,1037.21,1333.12,605.68,211.99,14.25,1590.97,431.13,36.43
20,21,Bigfoot 2001,1142,Sierra Nevada Brewing Co.,22,,22B,Unclassified,9.6,1075 East 20th Street,,Chico,California,95928,United States,1-530-893-3520,http://www.sierranevada.com/,878.99,275.25,351.47,36.52,227.15,791.46,419.35,852.03,954.49,117.42,524.84,678.14
21,22,Bigfoot 2002,1142,Sierra Nevada Brewing Co.,22,,22B,Unclassified,9.6,1075 East 20th Street,,Chico,California,95928,United States,1-530-893-3520,http://www.sierranevada.com/,611.56,1058.17,715.38,197.78,175.45,388.84,1317.38,607.85,289.55,136.7,1084.05,611.06
22,23,Bigfoot 2003,1142,Sierra Nevada Brewing Co.,22,,22B,Unclassified,9.6,1075 East 20th Street,,Chico,California,95928,United States,1-530-893-3520,http://www.sierranevada.com/,16.13,6.35,9.12,33.84,11.71,4.41,26.79,27.52,8.68,29.24,25.54,9.81
23,24,Bigfoot 2004,1142,Sierra Nevada Brewing Co.,22,,22B,Unclassified,9.6,1075 East 20th Street,,Chico,California,95928,United States,1-530-893-3520,http://www.sierranevada.com/,1723.75,1103.91,1098.94,268.69,218.01,198.73,933.22,1903.19,210.84,1628.8,130.94,434.91
24,25,Bigfoot 2005,1142,Sierra Nevada Brewing Co.,22,,22B,Unclassified,9.6,1075 East 20th Street,,Chico,California,95928,United States,1-530-893-3520,http://www.sierranevada.com/,1287.57,1229.61,1363.57,303.26,337.38,1052.6,431.44,455.92,946.49,46.75,920.56,82.15
25,26,Winter Ale,1220,Summit Brewing,17,Strong British Ale,17B,Old Ale,5.9,910 Montreal Circle,,Saint Paul,Minnesota,55102,United States,1-651-265-7800,http://www.summitbrewing.com/,47.74,90.74,122.24,386.25,162.55,228.52,352.43,237.44,39.54,121.89,309.82,58.14
26,27,Full Moon Winter Ale,878,Molson Breweries of Canada,31,Alternative Fermentables Beer,31A,Alternative Grain Beer,5.6,175 Bloor Street East,,Toronto,Ontario,0,Canada,1-416-975-1786,,674.16,1056.17,149.2,297.84,1819.35,716.37,591.4,805.46,1077.7,1526.86,491.12,389.99
27,28,Odell IPA,935,Odell Brewing,21,IPA,21A,American IPA,7,800 East Lincoln Avenue,,Fort Collins,Colorado,80524,United States,1-888-887-2797,,306.64,42.91,167.09,211.01,140.68,101.21,81.41,286.28,162.66,20.37,227.24,99.78
28,29,Ornery Amber Lager,1271,Tommyknocker Brewery and Pub,1,Standard American Beer,01B,American Lager,0,1401 Miner Street,,Idaho Springs,Colorado,80452,United States,1-303-567-2688,http://www.tommyknocker.com/,78.93,209.27,183.08,232.58,206.22,13.18,180.7,151.4,257.34,89.67,31.47,229.46
29,30,Cutthroat Porter,935,Odell Brewing,13,Brown British Beer,13C,English Porter,4.8,800 East Lincoln Avenue,,Fort Collins,Colorado,80524,United States,1-888-887-2797,,519.88,100.06,244.65,159.02,164.21,184.34,139.96,401.6,458.31,177.23,520.95,20.78
30,31,Maple Nut Brown Ale Ale,1271,Tommyknocker Brewery and Pub,19,Amber and Brown American Beer,19C,American Brown Ale,0,1401 Miner Street,,Idaho Springs,Colorado,80452,United States,1-303-567-2688,http://www.tommyknocker.com/,591.21,171.13,226.38,500.76,406.5,78.53,881.31,807.55,427.49,303.53,252.66,684.29
31,32,Cocoa Porter,1271,Tommyknocker Brewery and Pub,13,Brown British Beer,13C,English Porter,0,1401 Miner Street,,Idaho Springs,Colorado,80452,United States,1-303-567-2688,http://www.tommyknocker.com/,296.3,220.7,375.31,334.61,137.04,560.27,582.51,508.18,173.13,310.06,465,425.3
32,33,Jenlain Blonde,190,Brasserie Duyck,18,Pale American Ale,18A,Blonde Ale,7.5,"113, rte Nationale",,Jenlain,,,France,33-03.27.49.70.03,,8256.32,7082.61,279.47,2054.3,8551.05,3956.82,13042.49,1622.11,2596.27,5795.5,1099.24,7387.69
33,34,Blonde,196,Brasserie La Choulette,18,Pale American Ale,18A,Blonde Ale,7.5,16 rue des Ecoles,,Hordain,,,France,33-03.27.35.72.44,,24226.74,2250.65,13576.89,1573.75,21896.18,917.54,5986.93,15976.07,17146.4,10106.94,28566.29,14452.47
34,35,Flemish Primitive Wild Ale (Demon Fish),432,De Proef Brouwerij,28,American Wild Ale,28C,Wild Specialty Beer,9,Doornzelestraat 20,,Lochristi-Hijfte,Oost-Vlaanderen,,Belgium,32-09-/-356.71.02,,1088.64,273.04,1051.85,277.65,417.92,759.72,379.46,705.59,932.5,339.05,883.76,1031.5
35,36,Witkap-Pater Tripel,294,Brouwerij Slaghmuylder,26,Trappist Ale,26C,Belgian Tripel,7.5,Denterhoutembaan 2,,Ninove,Oost-Vlaanderen,,Belgium,32-054-33-18-31,,521.43,93.98,1163.16,268.2,938.09,1117.69,305.41,396.13,598.31,89.77,607.46,558.18
36,37,Winter Cheer,1175,Spanish Peaks Brewing,19,Amber and Brown American Beer,19C,American Brown Ale,0,Polson MT 59860,,Polson,Montana,,United States,,http://www.blackdogales.com/,331.18,334.66,90.93,474.42,376.51,340.74,56.24,217.69,194.64,289.82,94.95,157.01
37,38,Canaster Winter Scotch,743,Kleinbrouwerij de Glazen Toren,22,,22B,Unclassified,8.7,Glazentorenweg 11,,Erpe-Mere,Oost-Vlaanderen,,Belgium,32-(0)53-83-68-17,,252.71,126.09,216.25,224.3,256.07,104.89,62.41,14.23,196.12,44.55,123.45,114.06
38,39,16,1307,Unibroue,22,,22B,Unclassified,10,80 Des Carrires,,Chambly,Quebec,,Canada,1-450-658-7658,http://www.unibroue.com,674.16,1056.17,149.2,297.84,1819.35,716.37,591.4,805.46,1077.7,1526.86,491.12,389.99
39,40,Quelque Chose,1307,Unibroue,23,European Sour Ale,23F,Fruit Lambic,8,80 Des Carrires,,Chambly,Quebec,,Canada,1-450-658-7658,http://www.unibroue.com,1439.65,4788.48,2878.47,814.55,2259.25,1902.37,3909.25,160.01,226.12,2327.89,1026.99,2624.02
40,41,Kriek,277,Brouwerij De Ranke,23,European Sour Ale,23F,Fruit Lambic,7,Brugsstraat 43,,Wevelgem,West-Vlaanderen,,Belgium,32-056-41-82-41,,225.57,228.59,225.77,165.01,33.72,48.23,165.44,216.61,116.94,88.4,153.07,67.48
41,42,Bi?Â²e Darbyste,170,Brasserie de Blaugies,1,Standard American Beer,01A,American Light Lager,0,"Rue de la Frontire, 435",,Blaugies,Hainaut,,Belgium,32-065-65-03-60,,19.08,85.25,111.69,46.97,41.07,31.6,7.28,65.04,86,65.49,59.22,27.26
42,43,Maracaibo Especial,723,Jolly Pumpkin Artisan Ales,19,Amber and Brown American Beer,19C,American Brown Ale,7.5,3115 Broad Street,,Dexter,Michigan,48130,United States,1-734-426-4962,http://www.jollypumpkin.com,151.6,939.82,547.89,689.37,896.23,164.06,877.74,227.17,24.28,549.54,622.97,525.54
43,44,Flemish Primitive Wild Ale (Pin Head),432,De Proef Brouwerij,28,American Wild Ale,28C,Wild Specialty Beer,9,Doornzelestraat 20,,Lochristi-Hijfte,Oost-Vlaanderen,,Belgium,32-09-/-356.71.02,,1039.84,994.65,350.59,819.59,1222.41,373.62,839.72,1117.02,1152.84,376.7,375.67,970.29
44,45,Calabaza Blanca,723,Jolly Pumpkin Artisan Ales,31,Alternative Fermentables Beer,31A,Alternative Grain Beer,4.8,3115 Broad Street,,Dexter,Michigan,48130,United States,1-734-426-4962,http://www.jollypumpkin.com,90.48,178.98,243.69,177.55,128.03,5.92,90.92,106.93,76.99,109.74,134.06,73.92
45,46,Porter,901,Nebraska Brewing Company,13,Brown British Beer,13C,English Porter,0,7474 Towne Center Parkway #101,,Papillion,Nebraska,68046,United States,1-402-934-7100,,355.72,167.93,376.42,347.44,405.96,3.59,148.57,387.7,254.62,273.41,70.42,176.29
46,47,Cardinal Pale Ale,901,Nebraska Brewing Company,18,Pale American Ale,18B,American Pale Ale,0,7474 Towne Center Parkway #101,,Papillion,Nebraska,68046,United States,1-402-934-7100,,463.44,468.59,400.16,441.13,428.38,158.39,231.02,71.74,175.97,256.55,441.28,185.44
